Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Catch and Shoot - Half Court,Guarded,53.2%,7.7,6.6,0.859,82%,Very Good,5.4,2.3,7.7,29.6%,43%,0%,0%,0%,"29.6%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Catch and Shoot - Half Court,Unguarded,46.8%,6.7,6.9,1.029,72%,Very Good,4.4,2.3,6.7,34.9%,51.4%,0%,0%,0%,"34.9%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,17.3%,8.4,6,0.72,77%,Very Good,5.7,2.7,8.4,32.1%,35.8%,0%,0.5%,0.5%,"32.1%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Jump Shot Range - half court,Short (<17'),21.8%,5.2,3.7,0.706,68%,Very Good,3.4,1.8,5.2,35.3%,35.3%,0%,0%,0%,"35.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Jump Shot Range - half court,Medium (17' to <3 point line),12.7%,3,1.6,0.519,92%,Excellent,2.3,0.8,3,25.3%,25.3%,0%,1.3%,1.3%,"25.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Jump Shot Range - half court,Long (3 point jump shots),65.5%,15.7,15.6,0.99,64%,Good,10.5,5.2,15.7,33%,49.5%,0%,0%,0%,"33%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Overall,100%,82.5,82.2,0.996,94%,Excellent,30.2,29.8,60,49.7%,55.9%,16%,13.9%,8.7%,"46.3%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Transition,13.8%,11.4,13.8,1.208,99%,Excellent,2.9,5.5,8.5,65.5%,71.4%,17.2%,12%,9.1%,"56.9%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Overall Half Court,86.2%,71.1,68.4,0.962,92%,Excellent,27.3,24.3,51.5,47.1%,53.4%,15.8%,14.2%,8.7%,"44.6%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Short Shot Clock <4 Seconds,3.1%,2.6,1.5,0.565,17%,Below Average,1.8,0.6,2.4,24.1%,29.3%,4.8%,1.6%,0%,"24.2%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Out of Bounds (End),7.6%,5.4,5.4,0.992,88%,Excellent,2,2,4,51%,58.3%,15.4%,12.3%,7.7%,"46.2%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Out of Bounds (Side),3.9%,2.8,4,1.433,100%,Excellent,0.8,1.4,2.2,65.4%,77.9%,7.5%,20.9%,13.4%,"61.2%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,After Time Outs,10.8%,7.7,7,0.913,74%,Very Good,3.2,2.8,6,46.2%,51.4%,13.6%,9.2%,4.9%,"42.9%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Against Man,98.1%,69.8,67.2,0.964,93%,Excellent,26.6,23.9,50.5,47.3%,53.5%,15.8%,14.3%,8.7%,"44.7%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Against Zone,1.9%,1.4,1.2,0.879,45%,Average,0.7,0.4,1,36%,48%,15.2%,9.1%,6.1%,"36.4%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Overall Offense,Press Offense,5.4%,3.9,4.2,1.086,95%,Excellent,1.1,1.2,2.3,51.9%,63.9%,17.2%,25.8%,5.4%,"52.7%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Spot Up,24.2%,20,19.3,0.967,70%,Very Good,9.8,6.8,16.6,40.9%,52.3%,11%,6.7%,5%,"39.4%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Transition,13.8%,11.4,13.8,1.208,99%,Excellent,2.9,5.5,8.5,65.5%,71.4%,17.2%,12%,9.1%,"56.9%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Cut,10.5%,8.7,10.1,1.163,78%,Very Good,2.7,4.3,7,61.5%,61.5%,7.7%,17.3%,13%,"58.2%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Off Screen,9.4%,7.8,8.9,1.144,95%,Excellent,3.6,3,6.6,45.9%,58.2%,8%,9.6%,8%,"45.5%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,P&R Ball Handler,8.9%,7.4,6.9,0.932,95%,Excellent,2.7,2.8,5.5,50.8%,55.3%,18.6%,9.6%,7.9%,"43.5%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Post-Up,8.4%,6.9,6,0.873,66%,Very Good,2.8,2.3,5,44.6%,44.6%,12%,18.7%,12%,"45.2%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Isolation,5.1%,4.3,3.5,0.824,64%,Good,1.4,1.3,2.6,47.6%,50%,23.5%,17.6%,12.7%,"42.2%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Offensive Rebounds (put backs),5.1%,4.2,4.5,1.059,50%,Average,1.3,1.5,2.8,52.9%,52.9%,10.9%,24.8%,22.8%,"54.5%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,P&R Roll Man,4.8%,4,3.9,0.989,55%,Good,1.8,1.6,3.3,47.5%,51.3%,9.5%,9.5%,8.4%,"46.3%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Hand Off,1.5%,1.2,0.9,0.724,30%,Below Average,0.5,0.3,0.9,38.1%,40.5%,20.7%,6.9%,6.9%,"34.5%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Play Types,Miscellaneous,8.2%,6.8,4.4,0.654,92%,Excellent,0.6,0.4,1,37.5%,43.8%,51.2%,34%,1.2%,"38.3%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Offense Including Passes,Isolations Including Passes,6.7%,5.5,4.7,0.848,57%,Good,2,1.7,3.8,45.6%,50.6%,20.5%,13.6%,9.8%,"40.9%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Offense Including Passes,Pick and Rolls Including Passes,19.5%,16.1,15.4,0.953,87%,Excellent,6.9,6.1,13,47%,53%,13.4%,8.5%,6.7%,"42.9%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Offense Including Passes,Post-Ups Including Passes,10.4%,8.6,8,0.928,68%,Very Good,3.5,3,6.5,46.2%,47.8%,11.6%,16.9%,11.6%,"45.9%
"
Milwaukee School of Engineering,2019-2-12,Offensive,During Pass Out Situations,ISO - Defense Commits,1.5%,1.3,1.2,0.933,44%,Average,0.7,0.5,1.1,40.7%,51.9%,10%,0%,0%,"36.7%
"
Milwaukee School of Engineering,2019-2-12,Offensive,During Pass Out Situations,P&R BH - Defense Commits,12%,9.9,8.5,0.861,68%,Very Good,4.2,3.3,7.5,44.2%,51.4%,19.3%,7.1%,5%,"37.8%
"
Milwaukee School of Engineering,2019-2-12,Offensive,During Pass Out Situations,Post-Up - Defense Commits,2.1%,1.7,2,1.146,69%,Very Good,0.7,0.8,1.5,51.4%,58.6%,9.8%,9.8%,9.8%,"48.8%
"
Milwaukee School of Engineering,2019-2-12,Offensive,During Trapping Situations,P&R BH - Traps,0.3%,0.3,0.5,2.167,-,-,<0.1,0.2,0.2,80%,100%,0%,33.3%,16.7%,"83.3%
"
Milwaukee School of Engineering,2019-2-12,Offensive,During Trapping Situations,Post-Up - Hard Double,1.2%,1,0.8,0.833,54%,Good,0.3,0.3,0.7,50%,56.3%,29.2%,4.2%,4.2%,"37.5%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Jump Shots,50.4%,26,29,1.116,97%,Excellent,14.8,11.1,26,42.9%,55.3%,0%,1.3%,1.3%,"42.9%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,2.8%,1.5,1,0.657,54%,Good,1.1,0.4,1.5,25.7%,32.9%,0%,0%,0%,"25.7%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Runner,3.2%,1.7,0.9,0.55,9%,Poor,1.2,0.5,1.7,27.5%,27.5%,0%,2.5%,2.5%,"27.5%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.2%,0.1,0.1,1,-,-,<0.1,<0.1,0.1,50%,50%,0%,0%,0%,"50%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),36.6%,18.8,21.6,1.146,66%,Very Good,8.4,10.4,18.8,55.3%,55.3%,0%,6%,6%,"55.3%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Post-Ups,9.8%,5,4.7,0.934,45%,Average,2.8,2.3,5,44.6%,44.6%,0%,5%,5%,"44.6%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.2%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Milwaukee School of Engineering,2019-2-12,Offensive,Catch and Shoot - Half Court,Catch and Shoot,33.3%,17.2,20.3,1.184,94%,Excellent,9.8,7.3,17.2,42.7%,59.1%,0%,0.5%,0.5%,"42.7%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Catch and Shoot - Half Court,Guarded,52.2%,9,9.3,1.037,75%,Very Good,5.5,3.5,9,39.1%,51.6%,0%,0.9%,0.9%,"39.1%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Catch and Shoot - Half Court,Unguarded,47.8%,8.2,11,1.345,97%,Excellent,4.4,3.8,8.2,46.7%,67.3%,0%,0%,0%,"46.7%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,15.5%,8,8,1.005,99%,Excellent,4.4,3.5,8,44.5%,49%,0%,3.1%,3.1%,"44.5%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Jump Shot Range - half court,Short (<17'),17%,4.4,4.5,1.028,98%,Excellent,2.2,2.2,4.4,50%,50%,0%,2.8%,2.8%,"50%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Jump Shot Range - half court,Medium (17' to <3 point line),20.9%,5.4,5,0.923,93%,Excellent,3,2.5,5.4,45.4%,45.4%,0%,1.5%,1.5%,"45.4%
"
Milwaukee School of Engineering,2019-2-12,Offensive,Jump Shot Range - half court,Long (3 point jump shots),62.1%,16.1,19.4,1.204,98%,Excellent,9.7,6.5,16.1,40.1%,60.1%,0%,0.8%,0.8%,"40.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Overall,100%,86.9,80.9,0.931,20%,Below Average,33.7,30.2,63.9,47.2%,52%,15.8%,12.7%,8.1%,"44.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Transition,17.3%,15.1,15.6,1.032,26%,Below Average,5.2,5.8,11,52.9%,58.2%,16.2%,13.8%,11.1%,"49.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Overall Half Court,82.7%,71.8,65.3,0.909,20%,Below Average,28.6,24.4,53,46.1%,50.8%,15.7%,12.5%,7.4%,"43.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Short Shot Clock <4 Seconds,3.6%,3.2,2.6,0.823,23%,Below Average,1.7,1,2.8,37.7%,43.5%,8.9%,3.8%,2.5%,"36.7%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Out of Bounds (End),8.7%,6.3,5.3,0.847,46%,Average,2.7,2.2,4.9,44.3%,49.6%,18.5%,5.7%,3.8%,"38.2%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Out of Bounds (Side),4.2%,3,3.2,1.053,4%,Poor,1.2,1.4,2.6,53.1%,59.4%,13.2%,6.6%,5.3%,"46.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,After Time Outs,11.6%,8.3,6.2,0.75,87%,Excellent,4,2.5,6.5,38%,41.7%,14.9%,7.7%,6.3%,"35.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Man Defense,99.9%,71.8,65.3,0.91,18%,Below Average,28.5,24.4,52.9,46.1%,50.8%,15.7%,12.5%,7.4%,"43.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Zone Defense,0.1%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Overall Defense,Press Defense,4.8%,3.4,3.6,1.047,15%,Below Average,1.1,0.8,2,42.9%,52%,14%,30.2%,8.1%,"50%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Spot Up,19.5%,16.9,15.5,0.917,48%,Average,8.8,5.5,14.3,38.7%,49.2%,9.7%,7.1%,5.7%,"37.8%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Transition,17.3%,15.1,15.6,1.032,26%,Below Average,5.2,5.8,11,52.9%,58.2%,16.2%,13.8%,11.1%,"49.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,P&R Ball Handler,11.1%,9.7,7.3,0.756,52%,Good,4.2,3.2,7.3,43.2%,45.6%,19.8%,5.8%,5%,"36.4%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Post-Up,10.2%,8.9,7.3,0.824,57%,Good,3.7,3.1,6.8,45.9%,45.9%,13.1%,12.6%,9%,"42.8%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Cut,8.7%,7.6,9.2,1.212,16%,Below Average,2.4,4,6.4,62.1%,62.1%,4.8%,13.8%,12.2%,"61.4%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Offensive Rebounds (put backs),6.8%,5.9,6.2,1.061,48%,Average,2,2.5,4.6,55.3%,55.3%,10.2%,17%,15%,"53.7%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Isolation,6.2%,5.4,4.9,0.918,13%,Poor,2.2,1.7,3.9,44.3%,45.4%,11.9%,17.9%,12.7%,"46.3%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Off Screen,5.5%,4.8,4.5,0.95,32%,Average,2.4,1.7,4,41.6%,53%,12.6%,3.4%,2.5%,"37.8%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Hand Off,3.2%,2.8,2.2,0.8,57%,Good,1.5,0.8,2.2,33.9%,42%,14.3%,10%,8.6%,"32.9%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,P&R Roll Man,3.2%,2.8,2.8,1,46%,Average,1.1,1.2,2.3,51.7%,55.2%,10.1%,5.8%,4.3%,"47.8%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Play Types,Miscellaneous,8.3%,7.2,5.3,0.735,0%,Poor,0.4,0.7,1.1,66.7%,70.4%,50.8%,34.8%,1.7%,"40.3%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Offense Including Passes,Isolations Including Passes,8.2%,7.2,6.3,0.883,31%,Average,3.2,2.3,5.4,41.9%,44.1%,11.2%,14.5%,10.1%,"43.6%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Offense Including Passes,Pick and Rolls Including Passes,20.3%,17.6,15.8,0.893,31%,Average,7.7,6.6,14.3,45.9%,50.8%,14.3%,6.3%,5.2%,"41%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Offense Including Passes,Post-Ups Including Passes,12.1%,10.5,8.8,0.84,68%,Very Good,4.5,3.7,8.2,45.4%,46.3%,12.5%,12.2%,9.1%,"42.2%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,During Pass Out Situations,ISO - Defense Commits,2.1%,1.8,1.4,0.778,80%,Very Good,1,0.6,1.6,35.9%,41%,8.9%,4.4%,2.2%,"35.6%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,During Pass Out Situations,P&R BH - Defense Commits,11%,9.6,8.6,0.892,25%,Below Average,3.6,3.4,7,48.9%,56.3%,22.5%,6.7%,4.6%,"39.6%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,During Pass Out Situations,Post-Up - Defense Commits,1.9%,1.6,1.5,0.927,69%,Very Good,0.8,0.6,1.4,42.9%,48.6%,9.8%,9.8%,9.8%,"39%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,During Trapping Situations,P&R BH - Traps,0.3%,0.2,0.4,1.667,-,-,0.1,0.2,0.2,66.7%,83.3%,0%,0%,0%,"66.7%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,During Trapping Situations,Post-Up - Hard Double,0.8%,0.7,0.8,1.176,10%,Poor,0.3,0.3,0.6,53.3%,60%,11.8%,5.9%,5.9%,"47.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots,40.7%,21.6,20.9,0.97,34%,Average,13.6,7.9,21.6,36.7%,48.2%,0%,0.7%,0.7%,"36.7%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,2.8%,1.5,1.1,0.73,35%,Average,1.1,0.4,1.5,27%,36.5%,0%,0%,0%,"27%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Runner,4.5%,2.4,1.8,0.746,49%,Average,1.5,0.9,2.4,37.3%,37.3%,0%,0%,0%,"37.3%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.2%,0.1,0.2,1.333,-,-,<0.1,0.1,0.1,66.7%,66.7%,0%,0%,0%,"66.7%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),42%,22.2,25.7,1.155,35%,Average,9.8,12.5,22.2,56.1%,56.1%,0%,4.7%,4.7%,"56.1%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups,12.8%,6.8,6.4,0.941,61%,Good,3.7,3.1,6.8,45.9%,45.9%,0%,2.9%,2.9%,"45.9%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Catch and Shoot - Half Court,Catch and Shoot,23.7%,12.6,13.5,1.076,24%,Below Average,7.9,4.6,12.6,36.9%,53.7%,0%,0.3%,0.3%,"36.9%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Catch and Shoot - Half Court,Guarded,56.1%,7,6.6,0.938,60%,Good,4.8,2.2,7,31.8%,46.6%,0%,0.6%,0.6%,"31.8%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Catch and Shoot - Half Court,Unguarded,43.9%,5.5,6.9,1.254,11%,Poor,3.1,2.4,5.5,43.5%,62.7%,0%,0%,0%,"43.5%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,14.5%,7.7,6.4,0.828,34%,Average,4.8,2.9,7.7,37.5%,40.9%,0%,1.6%,1.6%,"37.5%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Jump Shot Range - half court,Short (<17'),21.3%,4.6,3.8,0.817,29%,Below Average,2.8,1.8,4.6,40%,40%,0%,1.7%,1.7%,"40%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Jump Shot Range - half court,Medium (17' to <3 point line),13.9%,3,2.3,0.76,33%,Average,1.9,1.1,3,37.3%,37.3%,0%,2.7%,2.7%,"37.3%
"
Lakeland (WI) Muskies,2019-2-12,Defensive,Jump Shot Range - half court,Long (3 point jump shots),64.7%,14,14.9,1.066,28%,Below Average,9,5,14,35.5%,53.3%,0%,0%,0%,"35.5%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Overall,100%,85.8,76.5,0.892,55%,Good,35.7,27.2,62.9,43.2%,49.1%,16.1%,12.3%,8.2%,"41%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Transition,15.9%,13.6,12.3,0.907,24%,Below Average,5.2,4.3,9.5,45.7%,52.2%,19.2%,12.4%,11.3%,"41.2%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Overall Half Court,84.1%,72.2,64.2,0.889,66%,Very Good,30.6,22.8,53.4,42.8%,48.6%,15.5%,12.3%,7.6%,"41%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Short Shot Clock <4 Seconds,2.2%,1.9,1.2,0.612,29%,Below Average,1,0.5,1.5,30.8%,32.1%,10.2%,10.2%,8.2%,"30.6%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Out of Bounds (End),8.5%,6.1,5.5,0.899,70%,Very Good,2.8,2,4.9,41.7%,47.6%,13.2%,10.7%,10.7%,"39.6%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Out of Bounds (Side),4.2%,3,2.1,0.696,26%,Below Average,1.4,0.8,2.2,35.1%,40.4%,19%,10.1%,6.3%,"31.6%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,After Time Outs,12.9%,9.3,8.2,0.876,62%,Good,4.1,2.8,6.8,40.4%,45.5%,14%,14.5%,9.1%,"40.9%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Against Man,95.5%,69,61,0.885,67%,Very Good,29.2,21.7,50.9,42.6%,48.3%,15.7%,12.3%,7.6%,"40.8%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Against Zone,4.5%,3.2,3.2,0.976,69%,Very Good,1.4,1.2,2.5,45.5%,53%,11.9%,13.1%,8.3%,"44%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Overall Offense,Press Offense,10.4%,7.5,7,0.933,77%,Very Good,2.5,2.3,4.8,47.6%,54.4%,21.5%,15.9%,7.2%,"44.1%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Spot Up,22.5%,19.3,18.4,0.952,67%,Very Good,10.8,6.4,17.3,37.2%,48.4%,6.6%,5.8%,5.2%,"37.4%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Transition,15.9%,13.6,12.3,0.907,24%,Below Average,5.2,4.3,9.5,45.7%,52.2%,19.2%,12.4%,11.3%,"41.2%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,P&R Ball Handler,13.5%,11.6,8.7,0.745,44%,Average,5,3.3,8.4,39.9%,42.7%,20.9%,8.3%,6.3%,"35.8%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Off Screen,7.8%,6.7,6.2,0.936,66%,Very Good,3.7,2.1,5.8,36.2%,46.7%,5.2%,7.5%,6.4%,"38.2%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Offensive Rebounds (put backs),7.6%,6.5,6.7,1.036,42%,Average,2.5,2.4,4.8,49.2%,50%,7.7%,21.9%,17.8%,"52.1%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Cut,7.3%,6.2,6.9,1.111,62%,Good,2.1,2.8,5,57.4%,57.4%,8%,16.7%,13.6%,"57.4%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Post-Up,6.5%,5.5,4.9,0.882,69%,Very Good,2,1.8,3.9,47.5%,47.5%,16%,16.7%,11.8%,"44.4%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Isolation,5.4%,4.6,3.7,0.808,57%,Good,1.9,1.4,3.3,41.9%,42.4%,15.8%,12.5%,5.8%,"41.7%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,P&R Roll Man,3.5%,3,3.6,1.177,86%,Excellent,1,1.5,2.5,59.1%,65.2%,11.4%,6.3%,5.1%,"54.4%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Hand Off,1.7%,1.5,1.3,0.921,74%,Very Good,0.7,0.4,1.1,35.7%,41.1%,10.5%,18.4%,10.5%,"42.1%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Play Types,Miscellaneous,8.4%,7.2,3.7,0.513,64%,Good,0.7,0.6,1.3,47.1%,50%,56.1%,26.2%,1.6%,"28.3%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Offense Including Passes,Isolations Including Passes,7%,6,4.6,0.763,28%,Below Average,2.8,1.7,4.5,37.3%,39.4%,14.1%,10.3%,5.1%,"37.8%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Offense Including Passes,Pick and Rolls Including Passes,22.9%,19.7,17.7,0.896,70%,Very Good,8.2,6.8,15,45.5%,51%,17%,8%,6.4%,"41.2%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Offense Including Passes,Post-Ups Including Passes,7.8%,6.7,6.2,0.931,70%,Very Good,2.7,2.3,5,46.6%,50%,13.2%,13.8%,9.8%,"44.3%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,During Pass Out Situations,ISO - Defense Commits,1.6%,1.4,0.8,0.611,6%,Poor,0.9,0.3,1.2,25%,31.3%,8.3%,2.8%,2.8%,"25%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,During Pass Out Situations,P&R BH - Defense Commits,11.6%,10,9.1,0.911,81%,Very Good,3.2,3.5,6.7,52.6%,61.6%,27.8%,6.6%,5.4%,"40.2%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,During Pass Out Situations,Post-Up - Defense Commits,1.3%,1.2,1.3,1.167,75%,Very Good,0.7,0.5,1.2,43.3%,58.3%,0%,0%,0%,"43.3%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,During Trapping Situations,P&R BH - Traps,0.5%,0.5,0.1,0.167,2%,Poor,0.1,<0.1,0.2,25%,25%,66.7%,0%,0%,"8.3%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,During Trapping Situations,Post-Up - Hard Double,1.1%,1,0.6,0.64,21%,Below Average,0.4,0.2,0.6,37.5%,46.9%,32%,4%,4%,"28%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Shot Attempt - Half Court,Jump Shots,56.7%,30.3,28.9,0.954,58%,Good,19,11.3,30.3,37.3%,47.5%,0%,0.5%,0.5%,"37.3%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,1.5%,0.8,0.4,0.476,24%,Below Average,0.6,0.2,0.8,23.8%,23.8%,0%,0%,0%,"23.8%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Shot Attempt - Half Court,Runner,5.4%,2.9,1.9,0.667,31%,Average,1.9,1,2.9,33.3%,33.3%,0%,0%,0%,"33.3%
"
Wisconsin Lutheran Warriors,2019-2-12,Offensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.2%,0.1,0.1,0.667,-,-,0.1,<0.1,0.1,33.3%,33.3%,0%,0%,0%,"33.3%
"
